rank,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,total_purchase,total_plays,total_play_hours,list_of_users_ids_for_the_game
10265,Death Jr.: Root of Evil,Wii,2008,Platform,Eidos Interactive,,0,0,,,,,,
10859,Fresh PreCure! Asobi Collection,DS,2009,Action,Namco Bandai Games,0,0,,0,,,,,
10880,World Cup '98 France: Road to Win,SAT,1998,Sports,Sega,0,0,,0,,,,,
11306,PAC-MAN and the Ghostly Adventures,X360,2013,Platform,Namco Bandai Games,,,0,,,,,,
11435,"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,Misc,Deep Silver,0,,0,,,,,,
11593,P.N.03 - Product Number Three,GC,2003,Shooter,Capcom,,,0,0,,,,,
11605,Rayman Origins,PC,2012,Platform,Ubisoft,0,,0,,,12.0,10,120.6,"36546868,49228258,49462664,80779496,51557405,44482198,20772968,17530772,80128229,69954842,112199961,22371742"
11651,Slayers Royal 2,SAT,1998,Role-Playing,Kadokawa Shoten,0,0,,0,,,,,
11754,Hakuouki DS,DS,2010,Adventure,Idea Factory,0,0,,0,,,,,
11779,Gladius,GC,2003,Strategy,Activision,,,0,0,,,,,
11804,Bomberman Max 2: Red Advance,GBA,2002,Puzzle,Vivendi Games,,,0,0,,,,,
12179,Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0,,0,,,,,,
12336,Famicom Mini: Balloon Fight,GBA,2004,Action,Nintendo,0,0,,0,,,,,
12345,Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004,Action,Ubisoft,,,0,0,,,,,
12930,Samurai Champloo: Sidetracked,PS2,2006,Action,Namco Bandai Games,,,0,,,,,,
12973,Game no Kanzume Vol 2,SCD,1994,Misc,Sega,0,0,,0,,,,,
13076,Sam & Max: Beyond Time and Space,Wii,2010,Adventure,Atari,,0,0,0,,,,,
13439,Ape Escape,PS3,2010,Platform,Sony Computer Entertainment,0,,0,,,,,,
13671,WTF: Work Time Fun,PSP,2005,Puzzle,Sony Computer Entertainment,,0,0,0,,,,,
13878,Holly Hobbie & Friends,DS,2007,Misc,Majesco Entertainment,,0,0,0,,,,,
13978,Norn9: Norn + Nonette,PSP,2013,Adventure,Idea Factory,0,0,,0,,,,,
14361,Gal Gun: Double Peace,PSV,2015,Action,PQube,0,,,0,,,,,
14372,Guilty Gear XX Accent Core Plus,Wii,2009,Fighting,PQube,,,0,0,,,,,
14448,Hiiro no Kakera 3: Aoikuro no Kusabi,PS2,2008,Adventure,Idea Factory,0,0,,0,,,,,
14460,S.L.A.I.: Steel Lancer Arena International,PS2,2005,Simulation,Konami Digital Entertainment,,,0,0,,,,,
14790,Hermie Hopperhead: Scrap Panic,PS,1995,Platform,Sony Computer Entertainment,0,0,,0,,,,,
15111,Ookami to Koushinryou: Omiowataru Kaze,DS,2009,Adventure,ASCII Media Works,0,0,,0,,,,,
15328,Nicktoons Collection: Game Boy Advance Video Volume 3,GBA,2005,Misc,N/A,,,0,0,,,,,
15596,Gallop Racer Inbreed,PS2,2006,Sports,Tecmo Koei,0,0,,0,,,,,
16433,Golden Time: Vivid Memories,PSV,2014,Adventure,ASCII Media Works,0,0,,0,,,,,
12,Mario Kart DS,DS,2005,Racing,Nintendo,,,,,,,,,
277,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,,,,,,,,,
289,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,,,0,0,,,,,
401,Rugrats: Search For Reptar,PS,1998,Adventure,THQ,,,0,,,,,,
677,Skylanders SWAP Force,Wii,2013,Platform,Activision,,,0,,,,,,
888,Guitar Hero: World Tour,PS3,2008,Misc,Activision,,,0,,,,,,
1162,The Legend of Zelda: Twilight Princess,GC,2006,Action,Nintendo,,,,,,,,,
1554,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,,,0,0,,,,,
1950,Sleeping Dogs,PS3,2012,Action,Square Enix,,,,,,104.0,85,1965.9,"1612666,105585767,48984158,71510748,78341587,30425578,55426012,35701646,122021564,36557643,20772968,13190476,113124720,31669242,72996988,57770056,94110492,11373749,60608576,50797633,10218563,49624770,49050405,69009454,76892907,12610800,28472068,118852041,90302081,202742019,77792512,62990992,64973908,110107925,975449,33013552,218918267,51557405,134839311,136403318,93275329,64023574,103371488,88493668,67579257,71777065,77214425,82287546,59382844,86732465,298950,103624897,53898495,112626210,81170946,39622853,155919035,23225650,50229934,33282871,154230723,10253354,9128105,26762388,88035166,91293844,65398650,24469287,37422528,68809194,71411882,33865373,63441290,56333620,69954842,23717586,18036199,92503355,86041729,42657809,7907686,122026623,23492094,87040683,108223505,24632218,170460109,44314169,61676491,111754806,109205612,11978743,10599862,32644336,84513749,53875128,272820556,72842694,48525807,11161178,86469479,107452765,17530772,30246419"
2075,Zoo Tycoon DS,DS,2005,Strategy,THQ,,,,,1,,,,
2127,Brutal Legend,X360,2009,Action,Electronic Arts,,,0,,,,,,
2198,Colin McRae Rally 04,PS2,2003,Racing,Codemasters,,,,,,,,,
2220,NHL 2003,PS2,2002,Sports,Electronic Arts,,,0,,,,,,
2303,We Ski & Snowboard,Wii,2008,Sports,Atari,,,,,,,,,
2400,Wizards of Waverly Place,DS,2009,Misc,Disney Interactive Studios,,,0,,,,,,
2760,LittleBigPlanet 3,PS3,2014,Platform,Sony Computer Entertainment,,,,,,,,,
2775,Brink,PS3,2011,Shooter,Bethesda Softworks,,,,,,,,,
3184,Family Feud: 2010 Edition,Wii,2009,Misc,Ubisoft,,0,0,,,,,,
3231,NHL 2001,PS,2000,Sports,Electronic Arts,,,0,,,,,,
3880,Dragon Age: Origins,PC,2009,Role-Playing,Electronic Arts,0,,0,,,,,,
4457,Naughty Bear,PS3,2010,Action,505 Games,,,0,,,,,,
4555,Backyard Baseball,GBA,2002,Sports,Atari,,,0,,,,,,
4610,Vanquish,X360,2010,Shooter,Sega,,,,,,,,,
4951,Imagine: Party Babyz,Wii,2008,Simulation,Ubisoft,,,0,,,,,,
5063,Hangman,2600,N/A,Puzzle,Atari,,,0,0,,,,,
5066,Gravitar,2600,1982,Action,Atari,,,0,0,,,,,
5076,Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,,,,,,,,,
5389,Dynasty Warriors 6 Empires,PS3,2009,Action,Tecmo Koei,,,,,,,,,
5446,Fracture,X360,2008,Shooter,LucasArts,,,0,,,,,,
5526,Disgaea: Hour of Darkness,PS2,2003,Role-Playing,Tecmo Koei,,,0,,,,,,
5571,Shin Nippon Pro Wrestling: Toukon Retsuden,PS,1995,Fighting,Tomy Corporation,0,0,,,,,,,
5606,Ben 10 Ultimate Alien: Cosmic Destruction,DS,2010,Platform,D3Publisher,,,0,,,,,,
5744,Armored Core: Silent Line,PS2,2003,Simulation,Agetec,,,,,,,,,
6101,Kung Zhu,DS,2010,Action,Activision,,0,0,,,,,,
6154,Harry Potter and the Sorcerer's Stone,PS2,2003,Action,Electronic Arts,,,0,,,,,,
6155,Unreal Championship 2: The Liandri Conflict,XB,N/A,Shooter,Midway Games,,,0,,,,,,
6217,The Warriors,PSP,2007,Action,Take-Two Interactive,,,0,,,,,,
6430,Summer Sports 2: Island Sports Party,Wii,2008,Sports,Ubisoft,,0,0,,,,,,
6496,Star Trek: Invasion,PS,2000,Simulation,Activision,,,0,,,,,,
6696,U-Sing: Girls Night,Wii,2010,Misc,Mindscape,0,,0,,,,,,
7051,Major League Baseball 2K10,PS2,2010,Sports,Take-Two Interactive,,,0,,,,,,
7229,Ms. Pac-Man: Maze Madness,N64,2000,Puzzle,Namco Bandai Games,,,0,0,,,,,
7291,Order Up!,Wii,2008,Misc,Zoo Digital Publishing,,,0,,,,,,
7620,Twisted Edge Extreme Snowboarding,N64,1998,Sports,Kemco,,,0,0,,,,,
7819,Spider-Man: Shattered Dimensions,DS,2010,Action,Activision,,,0,,,,,,
7911,Big Air,PS,1999,Sports,Accolade,,,0,,,,,,
8587,Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,,,0,0,,,,,
8889,Chessmaster II,PS,1998,Strategy,Mindscape,,,0,,,,,,
8938,Toy Story Racer,PS,2001,Racing,Activision,,,0,,,,,,
9048,ArmA II,PC,2009,Shooter,505 Games,0,,0,,,,,,
9087,Doom,GBA,2001,Shooter,Activision,,,0,0,,,,,
9155,Bassmasters 2000,N64,1999,Sports,THQ,,,0,0,,,,,
9247,I Spy: Universe,DS,2010,Puzzle,Scholastic Inc.,,0,0,,,,,,
9275,Touch My Katamari,PSV,2011,Puzzle,Namco Bandai Games,,,0,,,,,,
9491,TRON: Evolution,PSP,2010,Action,Disney Interactive Studios,,,0,,,,,,
9586,Advent Rising,XB,2005,Action,THQ,,,0,0,,1.0,0,0.0,76892907
9835,Mytran Wars,PSP,2009,Strategy,Deep Silver,,,0,,,,,,
9997,Army Men: Soldiers of Misfortune,DS,2008,Shooter,Zoo Games,,0,0,,,,,,
10136,Power Rangers: Super Legends,DS,2007,Action,Disney Interactive Studios,,,0,,,,,,
10147,Dora's Big Birthday Adventure,Wii,2010,Misc,Take-Two Interactive,,,0,,,,,,
10187,Project: Snowblind,XB,2005,Action,Eidos Interactive,,,0,0,,,,,
10235,GunGriffon Blaze,PS2,2000,Simulation,Swing! Entertainment,,,0,,,,,,
10468,Escape From Monkey Island,PS2,2001,Adventure,LucasArts,,,0,,,,,,
10574,Doom 3,PC,2004,Shooter,Activision,,,0,,,,,,
10708,Little League World Series Baseball 2010,X360,2010,Sports,Activision,,0,0,,,,,,
10828,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GC,2005,Adventure,Activision,,,0,0,,,,,
10865,PAC-MAN and the Ghostly Adventures,3DS,2013,Platform,Namco Bandai Games,,,0,,,,,,
11014,NERF N-Strike: Double Blast Bundle,Wii,2010,Shooter,Electronic Arts,,0,0,0,,,,,
11059,Go Play: City Sports,Wii,2009,Sports,Majesco Entertainment,,0,0,,,,,,
11077,Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,,,,,,,,,
11370,Supremacy MMA,X360,2011,Fighting,505 Games,,,0,,,,,,
11384,God Eater Resurrection,PS4,2015,Action,Namco Bandai Games,0,0,,0,,,,,
11443,Far Cry Vengeance,Wii,2006,Shooter,Ubisoft,,,0,,,,,,
11620,Terraria,3DS,2016,Action,505 Games,0,,,0,,496.0,460,29951.800000000003,"71510748,111182405,54761333,71335402,87694960,87341384,93259090,207477282,19085114,115996656,187463594,119723223,159812802,174674290,150282867,59005471,197652539,2259650,135865220,299581299,77194239,153821154,248549548,112626210,127344335,146007471,167901416,14544587,148362155,209772097,118693973,243664576,35039277,160883669,113227222,134322141,68049243,55367062,242937979,159428605,30042027,131785763,156407373,24632218,178144284,264625792,1936551,218317467,4824107,49228258,94299484,30425578,60611062,150995572,260376156,8585433,86055705,89523414,60859695,78309377,215540943,86481908,301477644,88705345,20464587,211421471,57603447,24721232,206982761,73495968,101878879,103624897,38049880,68316900,151600301,102921672,155003926,82385352,80604456,199603191,192616228,155919035,50275189,135503830,122798021,108950666,65398650,38465050,95545167,167118460,175447188,150137344,54637394,11940338,66052983,80128229,54310644,43913966,163162333,182557942,109205612,81585721,96400571,150882304,91027316,80550861,48984158,81943620,302980730,183337134,144580725,198105109,107567915,46637811,31669242,103731895,106760673,110824765,78765966,92276000,58217836,90359362,193103684,235692659,186344581,118852041,155042139,204480696,154687199,86433707,207196616,165073598,65147980,48028873,110546460,64023574,200913780,186483761,122658341,168324795,132300630,158429732,166125977,170491009,222050169,154230723,174002551,198346312,94152935,233160273,154014392,80494893,65754991,85959768,43360645,32467994,113752996,102927775,24469287,214309931,36502549,8259307,84455820,170172944,94229851,105782521,69954842,86733992,174633348,72978546,59662830,58435428,67708331,150033540,245314153,161186800,209559315,64019582,193156880,90033155,205822046,42928788,40212239,251164636,78341587,57424113,20772968,128651888,100769089,88775181,164511211,60859324,105877396,43955374,117601858,140408017,116515230,114364553,223858723,91859894,82263745,34177747,145320311,38317154,293693492,124725852,44472980,92842809,57103808,15196746,127272741,82287546,37723786,53898495,258602617,11149819,276526080,39622853,131463112,86499586,76420334,241210827,70489471,241890870,113546110,99264709,122026623,92669869,79243080,106806146,281535206,156675178,211454678,53875128,48525807,80630217,203765587,30246419,225848614,96836693,36546868,284291482,32710856,97667936,86738567,213188895,211180125,57770056,127220350,133234931,47384303,126428976,53091150,11373749,52907921,32126281,163712958,62990992,126191291,58907890,100322840,16645459,127072755,298950,154533830,80779496,139016142,42005897,121280370,235758386,108160472,120139965,33651880,201737586,144071257,27279261,131348564,47384202,84079486,36404933,188394070,195587567,219414811,33865373,277377524,11794760,87832209,83497449,181608676,95780749,103638409,156071982,196595568,122094388,42771635,123904490,104120883,136791084,85210874,82046939,179848102,165101762,92958887,92593907,14465359,82174211,296801388,196066421,135244036,104159428,209665002,167167647,81439192,85497862,60608576,90272527,158476996,49462664,93108463,28472068,22301321,150789931,75368808,153144971,135400225,33013552,83849502,106796307,277635586,177625788,14962163,81556495,306971738,130324181,105503045,94088853,71527252,109780632,94269421,96079217,153097805,64787956,33282871,108264287,104870123,60296891,192105970,236727418,148510973,290749426,50818751,166669789,88525821,176929122,106101617,87071236,54103616,61676491,117531196,105788297,192503967,72842694,65342306,181593489,86502662,58345543,181584582,64754418,63157803,116564064,55426012,51822361,127311699,137588230,65610147,67492611,92914917,12610800,156818121,181453879,206014489,94862562,65958466,39037163,83770731,58905429,95028545,254201131,83090686,119211545,135554311,142793906,115037563,94521606,239928300,134213189,12760368,46028967,159371621,111316830,132196353,73518199,107346769,170570863,21539893,159726428,73721802,136135322,101530848,56789999,49893565,174226719,165755355,111362598,86041729,176539817,158608850,34919318,44314169,68719896,45974860,10599862,11970504,244648789,129117376,89691468,3449240,117949868,156271246,159800136,21061921,98848653,58289184,36557643,47457723,86686260,156565178,123734483,149501464,93030550,91690667,102825821,186247831,110478743,975449,12144171,111551727,75970863,138941587,54194546,101596530,199659716,167194020,85136214,164475918,96588736,297650159,209817175,81170946,199628395,48798067,83671083,100719181,133439936,73835640,11403772,26762388,88035166,152959594,31187179,33622085,72523666,55906572,162081645,250238131,247195205,102295765,276609322,86287245,72417734,49767455,59825286,39361297,104830836,125424716,198735293,111754806,129925351,219551734,26729643,101602586,107452765,17530772,98818460,171067153,61070572"
11722,Disaster: Day of Crisis,Wii,2008,Action,Nintendo,0,,,0,,,,,
12274,Kanon,DC,2000,Adventure,NEC Interchannel,0,0,,0,,,,,
12488,Summon Night 2,DS,2008,Role-Playing,Namco Bandai Games,0,0,,0,,,,,
12502,NBA Hangtime,PS,1996,Sports,Midway Games,,,0,0,,,,,
12946,UEFA Champions League 2006-2007,X360,2007,Sports,Electronic Arts,,,0,0,,,,,
12963,Air Conflicts: Aces of World War II,PSP,2009,Simulation,Graffiti,,0,0,0,,,,,
13003,Pinball Hall of Fame: The Gottlieb Collection,GC,2005,Misc,Crave Entertainment,,,0,0,,,,,
13019,SpongeBob: HeroPants,PSV,2015,Platform,Activision,,,0,,,,,,
13074,Kart Racer,Wii,2009,Racing,Nordic Games,,,0,0,,,,,
13684,Sonic PC Collection,PC,2009,Misc,Sega,0,,0,,,,,,
13953,Teenage Zombies: Invasion of the Alien Brain Thingys,DS,2008,Adventure,Ignition Entertainment,,0,0,0,,,,,
14269,House M.D.,DS,2010,Adventure,Mindscape,,,0,0,,,,,
14723,Negima!? Dream Tactic Yumemiru Otome Princess,PS2,2007,Strategy,Konami Digital Entertainment,0,0,,0,,,,,
14743,Kiniro no Corda 2 f Encore,PSP,2009,Role-Playing,Tecmo Koei,0,0,,0,,,,,
14745,Jewel Quest 5: The Sleepless Star,DS,2012,Action,Licensed 4U,0,,0,0,,,,,
14771,Buffy the Vampire Slayer: Chaos Bleeds,GC,2003,Action,Vivendi Games,,,0,0,,,,,
15609,Writing and Speaking Beautiful Japanese DS,DS,N/A,Misc,Unknown,0,0,,0,,,,,
15717,This War of Mine,PS4,2016,Action,Deep Silver,0,,0,0,,65.0,54,722.1,"49228258,69953893,162288536,51822361,46301758,8585433,86055705,25096601,72996988,10302000,53091150,187463594,12610800,162370266,208799740,62878249,33013552,154730370,124437057,63276972,51557405,195962272,57103808,24919113,54507379,101878879,132300630,54293428,38049880,42005897,105384518,141721383,11149819,39622853,154230933,76296787,209917929,144071257,131348564,55367062,47384202,165755355,155673786,84455820,171847029,162081645,63441290,67729331,99264709,147859903,10162301,207208914,24632218,54310644,101690993,117531196,160042745,53875128,101602586,86469479,107452765,1936551,171067153,61506388,208050447"
15832,Phoenix Wright: Ace Attorney Trilogy,3DS,2014,Adventure,Capcom,0,0,,0,,,,,
16201,AKB1/48: Idol to Guam de Koishitara...,X360,N/A,Misc,N/A,0,0,,0,,,,,
16452,King's Bounty: Armored Princess,PC,2009,Role-Playing,1C Company,0,,0,0,,,,,
16560,Dramatical Murder Re:code,PSV,2014,Adventure,Nitroplus,0,0,,0,,,,,
244,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,,,,,,,,,
668,The Incredibles,PS2,2004,Action,THQ,,,,,,,,,
779,Borderlands,PS3,2009,Shooter,Take-Two Interactive,,,0,,,183.0,146,4742.8,"8795607,58345543,36546868,256645945,63157803,81943620,26465134,54761333,55426012,51822361,95699780,93341815,42298912,34281672,17995238,87341384,76451157,77980915,91807066,74772820,47384303,11373749,29753085,124059151,69009454,92914917,185079540,156818121,118852041,134641355,83420834,16084897,62990992,83770731,113580708,58905429,16645459,48028873,71888942,200913780,56038151,127072755,2259650,71777065,73564778,75155353,115037563,143643478,12760368,298950,116876958,77127388,44545959,77194239,248549548,75598925,154230933,14544587,64369759,30519870,198346312,154014392,27279261,99961115,43360645,45617627,49893565,24469287,36502549,36404933,95325409,26802825,216025815,30913209,33865373,69954842,22371742,11794760,72978546,59662830,7907686,1950243,122094388,122216032,151229648,34919318,44314169,104120883,55975168,27403206,31733654,2753525,102016550,93300963,10599862,11970504,99077905,33706322,11161178,39146470,107913460,91871147,92958887,21061921,49228258,82174211,100741663,36557643,85673716,20772968,8585433,69828237,85366890,85497862,47457723,43955374,49462664,6717871,76892907,22301321,91859894,34177747,64973908,23154676,975449,12144171,138941587,44472980,24721232,87907200,171611544,11207650,82287546,59382844,37723786,164296368,68316900,172518437,561758,148674157,11807754,6144819,48798067,75277726,155919035,64787956,60296891,149920224,14126086,11403772,26762388,108950666,65398650,44866715,175447188,50818751,46951849,55906572,27171538,99083518,66950079,54637394,157341587,92503355,167815968,42657809,87071236,122026623,59925638,105445346,59825286,80128229,54310644,68532738,285860790,138581545,26729643,53875128,48525807,85458882,107452765,59790700,30246419"
1324,Smarty Pants,Wii,2007,Misc,Electronic Arts,,,0,,,,,,
1522,Test Drive 5,PS,1997,Racing,Accolade,,,0,,,,,,
1782,Puyo Puyo Sun Ketteiban,PS,1997,Puzzle,Compile,0,0,,,,,,,
1789,Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,,,0,,,,,,
1807,Cars,GBA,2006,Racing,THQ,,,0,,,,,,
1874,The Simpsons Game,PSP,2007,Action,Electronic Arts,,,0,,,,,,
2229,SSX,PS3,2012,Sports,Electronic Arts,,,,,,,,,
2535,Ready 2 Rumble Boxing: Round 2,PS2,2000,Fighting,Midway Games,,,0,,,,,,
3205,A Bug's Life,N64,1998,Platform,Activision,,,0,,,,,,
3278,Wall-E,X360,2008,Platform,THQ,,,0,,,,,,
3307,Small Soldiers,PS,1998,Platform,Electronic Arts,,,0,,,,,,
3353,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,,,0,,,19.0,11,325.0,"36546868,64787956,240551525,122026623,73835640,64369759,226923581,65754991,147602462,156675178,160288543,194670621,76892907,46028967,216025815,107913460,97843739,134967717,22301321"
3888,100 All-Time Favorites,DS,2009,Puzzle,Ubisoft,,,0,,,,,,
4465,Jikkyou Powerful Pro Yakyuu 9,PS2,2002,Sports,Konami Digital Entertainment,0,0,,0,,,,,
5045,MediEvil II,PS,1999,Action,Sony Computer Entertainment,,,0,,,,,,
5055,Moto Racer World Tour,PS,2000,Racing,Sony Computer Entertainment,,,0,,,,,,
5199,Speed Racer: The Videogame,DS,2008,Racing,Warner Bros. Interactive Entertainment,,,0,,,,,,
5274,Picross 2,GB,1996,Puzzle,Nintendo,0,0,,0,,,,,
5629,SimAnimals,Wii,2009,Simulation,Electronic Arts,,,0,,,,,,
6042,Disney Infinity,3DS,2013,Action,Disney Interactive Studios,,,0,,,,,,
6122,The Warriors,XB,2005,Action,Take-Two Interactive,,,0,,,,,,
6284,Iron Man 2,X360,2010,Action,Sega,,,0,,,,,,
6311,Rhythm Thief & the Emperor's Treasure,3DS,2012,Misc,Sega,,,,,,,,,
6370,Thoroughbred Breeder II,SNES,1994,Simulation,Hect,0,0,,0,,,,,
6644,Exhibition,XB,2001,Misc,Microsoft Game Studios,,,0,,,,,,
6671,Final Fantasy II,WS,2001,Role-Playing,SquareSoft,0,0,,0,,,,,
6757,Choro Q2,PS,1997,Racing,Takara,0,0,,,,,,,
6934,G.I. Joe: The Rise of Cobra,X360,2009,Action,Electronic Arts,,,0,,,,,,
7007,All-Star Baseball 2001,N64,2000,Sports,Acclaim Entertainment,,,0,0,,,,,
7052,Call of Duty: Black Ops 3,PC,2015,Shooter,Activision,0,,0,,,,,,
7098,Super Robot Taisen F Kanketsuhen,PS,1999,Strategy,Banpresto,0,0,,,,,,,
7216,Duel Masters: Kaijudo Showdown,GBA,2004,Misc,Atari,,,0,0,,,,,
7257,Tamagotchi no KiraKira Omisecchi,DS,2008,Misc,Namco Bandai Games,0,0,,0,,,,,
7349,The Bard's Tale,PS2,2004,Role-Playing,Ubisoft,,,0,,,18.0,6,15.5,"67729331,88579585,62990992,42657809,39622853,81943620,58905429,59825286,20772968,65398650,47457723,11373749,30912860,81579335,86469479,88525821,173925846,63441290"
7618,Roadsters 99,N64,1999,Racing,Titus,,,0,,,,,,
7908,Jewel Master: Cradle of Athena,DS,2010,Puzzle,Storm City Games,,0,0,,,,,,
7922,College Slam,PS,1995,Sports,Acclaim Entertainment,,,0,,,,,,
8292,Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009,Action,Take-Two Interactive,,0,0,,,,,,
8325,Thief: Deadly Shadows,XB,2004,Action,Eidos Interactive,,,0,,,,,,
8364,Marble Saga: Kororinpa,Wii,2009,Puzzle,Konami Digital Entertainment,,,0,,,,,,
8487,El Shaddai: Ascension of the Metatron,X360,2011,Action,Ignition Entertainment,,,,,,,,,
8611,Time Hollow,DS,2008,Adventure,Konami Digital Entertainment,,,,0,,,,,
8757,Cars: Race-O-Rama,X360,2009,Racing,THQ,,,0,,,,,,
